Quarter,Time,Player,Action,Score
1,1:21,J.Mvula,3PT MISS,0 - 0
1,1:44,K.Austin,1PT GOAL,1 - 0
1,2:19,J.Mvula,1PT GOAL,1 - 1
1,2:38,S.Garbin,1PT GOAL,2 - 1
1,3:01,S.Garbin,2PT MISS,2 - 1
1,3:22,K.Austin,2PT GOAL,4 - 1
1,4:16,J.Mvula,1PT MISS,4 - 1
1,4:24,J.Mvula,1PT GOAL,4 - 2
1,4:42,S.Garbin,2PT MISS,4 - 2
1,5:24,J.Mvula,2PT GOAL,4 - 4
1,5:59,J.Mvula,1PT GOAL,4 - 5
2,0:12,S.Garbin,1PT GOAL (PP),6 - 5
2,0:56,K.Austin,2PT MISS,6 - 5
2,1:02,K.Austin,2PT MISS,6 - 5
2,1:35,J.Chimaliro,3PT MISS,6 - 5
2,1:54,K.Austin,1PT GOAL (PP),8 - 5
2,2:17,J.Chimaliro,3PT MISS,8 - 5
2,3:07,S.Garbin,2PT GOAL (PP),12 - 5
2,4:14,J.Chimaliro,2PT GOAL,12 - 7
2,4:38,K.Stanton,2PT MISS,12 - 7
2,4:56,K.Stanton,1PT GOAL (PP),14 - 7
2,5:24,J.Chimaliro,2PT MISS,14 - 7
2,5:58,J.Chimaliro,2PT GOAL,14 - 9
2,6:06,K.Austin,3PT MISS,14 - 9
3,1:19,K.Stanton,1PT GOAL,15 - 9
3,1:38,J.Mvula,1PT GOAL (PP),15 - 11
3,1:57,K.Stanton,2PT GOAL,17 - 11
3,2:36,K.Stanton,2PT GOAL,19 - 11
3,2:53,J.Chimaliro,2PT GOAL (PP),19 - 15
3,3:16,S.Garbin,2PT MISS,19 - 15
3,3:55,K.Stanton,2PT MISS,19 - 15
3,4:20,J.Mvula,2PT MISS,19 - 15
3,5:10,K.Austin,2PT MISS,19 - 15
3,5:27,J.Chimaliro,3PT MISS,19 - 15
3,5:58,K.Stanton,1PT GOAL,20 - 15
4,0:21,K.Austin,2PT MISS,20 - 15
4,0:29,S.Garbin,1PT GOAL,21 - 15
4,0:43,A.Kamwala,3PT MISS,21 - 15
4,0:49,J.Chimaliro,1PT MISS,21 - 15
4,1:15,S.Garbin,2PT MISS,21 - 15
4,1:45,A.Kamwala,2PT MISS,21 - 15
4,2:20,K.Austin,1PT GOAL,22 - 15
4,2:50,A.Kamwala,2PT MISS,22 - 15
4,3:03,K.Stanton,1PT GOAL,23 - 15
4,3:41,S.Garbin,2PT GOAL,25 - 15
4,4:02,S.Garbin,2PT GOAL,27 - 15
4,4:24,A.Kamwala,3PT MISS,27 - 15
4,4:54,S.Garbin,2PT GOAL,29 - 15
4,5:32,J.Mazengera,2PT MISS,29 - 15
4,5:41,K.Stanton,2PT MISS,29 - 15
4,6:02,J.Mazengera,2PT MISS,29 - 15
4,6:06,A.Kamwala,1PT MISS,29 - 15
1,0:24,S.Burger,1PT GOAL,1 - 0
1,0:49,S.Burger,2PT GOAL,3 - 0
1,1:06,S.Beckford,2PT GOAL,3 - 2
1,1:33,R.Aiken,1PT GOAL,3 - 3
1,2:09,R.Stoltz,2PT MISS,3 - 3
1,2:16,R.Stoltz,2PT GOAL,5 - 3
1,2:37,S.Beckford,2PT GOAL,5 - 5
1,3:13,R.Aiken,1PT GOAL,5 - 6
1,3:37,R.Stoltz,3PT MISS,5 - 6
1,4:08,S.Burger,2PT GOAL,7 - 6
1,4:23,R.Aiken,2PT MISS,7 - 6
1,4:49,S.Burger,2PT GOAL,9 - 6
1,5:38,S.Beckford,3PT GOAL,9 - 9
1,5:55,S.Burger,2PT GOAL,11 - 9
2,0:18,S.Beckford,2PT MISS,11 - 9
2,1:03,S.Beckford,3PT GOAL,11 - 12
2,1:38,R.Aiken,1PT GOAL,11 - 13
2,1:58,R.Stoltz,2PT GOAL,13 - 13
2,2:37,T.Harwood,2PT GOAL,13 - 15
2,2:47,S.Burger,2PT MISS,13 - 15
2,3:34,R.Aiken,1PT GOAL,13 - 16
2,3:53,R.Stoltz,2PT GOAL,15 - 16
2,4:05,R.Aiken,1PT GOAL,15 - 17
2,4:35,S.Nelson,1PT MISS,15 - 17
2,5:08,S.Burger,2PT MISS,15 - 17
2,5:52,R.Stoltz,2PT MISS,15 - 17
2,6:06,S.Nelson,2PT MISS,15 - 17
3,0:25,R.Stoltz,2PT GOAL (PP),19 - 17
3,1:24,R.Stoltz,3PT MISS,19 - 17
3,1:32,S.Burger,1PT MISS,19 - 17
3,2:07,S.Beckford,1PT MISS,19 - 17
3,2:11,R.Aiken,1PT GOAL,19 - 18
3,2:27,S.Burger,2PT MISS,19 - 18
3,3:01,R.Aiken,1PT GOAL,19 - 19
3,3:25,R.Stoltz,2PT GOAL (PP),23 - 19
3,3:49,T.Harwood,2PT GOAL,23 - 21
3,4:15,R.Stoltz,2PT MISS,23 - 21
3,4:26,R.Stoltz,2PT MISS,23 - 21
3,4:52,S.Burger,2PT GOAL (PP),27 - 21
3,5:20,T.Harwood,2PT GOAL,27 - 23
3,5:38,S.Burger,2PT MISS,27 - 23
3,6:10,R.Stoltz,3PT MISS,27 - 23
4,0:17,S.Beckford,3PT MISS,27 - 23
4,0:21,R.Aiken,1PT GOAL (PP),27 - 25
4,0:39,S.Beckford,3PT MISS,27 - 25
4,0:44,R.Aiken,1PT GOAL (PP),27 - 27
4,1:23,S.Beckford,2PT MISS,27 - 27
4,1:26,R.Aiken,1PT GOAL (PP),27 - 29
4,1:53,S.Burger,2PT MISS,27 - 29
4,2:00,S.Burger,2PT MISS,27 - 29
4,2:20,S.Beckford,3PT GOAL (PP),27 - 35
4,2:57,S.Burger,2PT MISS,27 - 35
4,3:14,S.Beckford,3PT GOAL (PP),27 - 41
4,3:34,R.Stoltz,3PT MISS,27 - 41
4,4:00,R.Aiken,1PT GOAL (PP),27 - 43
4,4:40,S.Nelson,1PT GOAL (PP),27 - 45
4,5:10,T.Harwood,3PT MISS,27 - 45
4,5:30,S.Nelson,1PT GOAL (PP),27 - 47
1,0:31,K.Corbin,1PT GOAL,0 - 1
1,0:58,K.Corbin,1PT GOAL,0 - 2
1,1:17,A.Ekenasio,1PT GOAL,1 - 2
1,1:40,E.Clark,1PT GOAL,1 - 3
1,2:29,B.Mes,2PT MISS,1 - 3
1,2:44,K.Corbin,2PT MISS,1 - 3
1,2:48,E.Clark,1PT GOAL,1 - 4
1,3:33,A.Ekenasio,2PT GOAL,3 - 4
1,3:58,M.Falkner,2PT GOAL,5 - 4
1,4:29,M.Falkner,3PT MISS,5 - 4
1,4:34,B.Mes,1PT GOAL,6 - 4
1,4:49,E.Cardwell,2PT GOAL,6 - 6
1,5:35,G.Fisher,2PT GOAL,6 - 8
1,5:51,B.Mes,2PT GOAL,8 - 8
1,6:07,G.Fisher,3PT MISS,8 - 8
2,0:30,A.Dunn,1PT GOAL (PP),10 - 8
2,1:25,E.Clark,2PT MISS,10 - 8
2,1:40,G.Fisher,2PT MISS,10 - 8
2,1:57,A.Dunn,2PT MISS,10 - 8
2,2:08,A.Dunn,1PT GOAL (PP),12 - 8
2,2:28,E.Clark,2PT GOAL,12 - 10
2,2:54,B.Mes,2PT MISS,12 - 10
2,3:00,B.Mes,1PT GOAL (PP),14 - 10
2,3:33,A.Dunn,1PT GOAL (PP),16 - 10
2,3:53,E.Cardwell,2PT MISS,16 - 10
2,4:12,S.Corbin,2PT MISS,16 - 10
2,4:32,A.Dunn,2PT GOAL (PP),20 - 10
2,5:03,E.Cardwell,1PT MISS,20 - 10
2,5:19,M.Falkner,2PT MISS,20 - 10
2,5:23,A.Dunn,1PT GOAL (PP),22 - 10
2,6:06,K.Corbin,2PT MISS,22 - 10
3,0:20,A.Dunn,1PT GOAL,23 - 10
3,0:48,E.Cardwell,1PT MISS,23 - 10
3,2:04,M.Falkner,2PT MISS,23 - 10
3,2:32,E.Cardwell,2PT MISS,23 - 10
3,3:09,A.Dunn,2PT MISS,23 - 10
3,3:50,A.Ekenasio,2PT MISS,23 - 10
3,3:56,A.Ekenasio,2PT GOAL,25 - 10
3,4:58,A.Ekenasio,2PT MISS,25 - 10
3,5:14,A.Ekenasio,1PT GOAL,26 - 10
3,5:33,G.Fisher,3PT GOAL (PP),26 - 16
4,0:26,E.Clark,2PT MISS,26 - 16
4,0:37,G.Fisher,2PT GOAL,26 - 18
4,1:21,G.Fisher,3PT MISS,26 - 18
4,1:39,M.Falkner,2PT MISS,26 - 18
4,2:10,B.Mes,2PT GOAL,28 - 18
4,2:19,E.Clark,2PT MISS,28 - 18
4,2:33,B.Mes,2PT GOAL,30 - 18
4,3:04,G.Fisher,2PT MISS,30 - 18
4,3:13,E.Cardwell,1PT GOAL,30 - 19
4,3:28,A.Dunn,1PT GOAL,31 - 19
4,3:50,E.Cardwell,3PT MISS,31 - 19
4,4:32,A.Ekenasio,3PT MISS,31 - 19
4,4:41,A.Ekenasio,1PT GOAL,32 - 19
4,5:11,K.Corbin,3PT MISS,32 - 19
4,5:47,A.Ekenasio,3PT MISS,32 - 19
4,6:02,E.Cardwell,2PT MISS,32 - 19
1,0:20,R.Aiken,1PT GOAL,0 - 1
1,0:35,K.Austin,1PT GOAL,1 - 1
1,1:11,S.Beckford,2PT MISS,1 - 1
1,1:20,S.Beckford,1PT GOAL,1 - 2
1,1:59,S.Garbin,2PT MISS,1 - 2
1,2:04,K.Austin,1PT GOAL,2 - 2
1,2:45,R.Aiken,2PT GOAL,2 - 4
1,3:37,S.Garbin,2PT MISS,2 - 4
1,4:05,K.Austin,2PT MISS,2 - 4
1,4:14,K.Stanton,1PT GOAL,3 - 4
1,4:49,T.Harwood,3PT MISS,3 - 4
1,5:06,K.Stanton,2PT MISS,3 - 4
1,5:35,R.Aiken,1PT GOAL,3 - 5
1,5:52,K.Austin,2PT MISS,3 - 5
2,0:35,K.Stanton,1PT MISS,3 - 5
2,0:55,K.Stanton,1PT GOAL (PP),5 - 5
2,1:22,R.Aiken,3PT MISS,5 - 5
2,1:38,T.Harwood,2PT MISS,5 - 5
2,1:54,K.Stanton,1PT GOAL (PP),7 - 5
2,2:09,S.Beckford,2PT MISS,7 - 5
2,2:46,K.Austin,1PT GOAL (PP),9 - 5
2,3:05,S.Beckford,2PT GOAL,9 - 7
2,3:37,R.Aiken,2PT GOAL,9 - 9
2,3:55,K.Austin,2PT GOAL (PP),13 - 9
2,4:13,S.Beckford,3PT MISS,13 - 9
2,4:32,S.Beckford,2PT MISS,13 - 9
2,4:56,S.Beckford,2PT GOAL,13 - 11
2,5:16,K.Austin,2PT GOAL (PP),17 - 11
2,5:34,S.Nelson,1PT GOAL,17 - 12
3,0:15,R.Aiken,1PT GOAL (PP),17 - 14
3,0:41,K.Austin,2PT GOAL,19 - 14
3,0:55,R.Aiken,1PT GOAL (PP),19 - 16
3,1:20,K.Stanton,2PT MISS,19 - 16
3,2:00,K.Stanton,1PT GOAL,20 - 16
3,2:32,S.Beckford,3PT MISS,20 - 16
3,2:53,K.Austin,2PT GOAL,22 - 16
3,3:05,R.Aiken,2PT MISS,22 - 16
3,3:30,K.Stanton,2PT GOAL,24 - 16
3,3:50,K.Austin,2PT MISS,24 - 16
3,4:20,K.Stanton,2PT MISS,24 - 16
3,4:50,K.Austin,1PT GOAL,25 - 16
3,5:08,S.Beckford,3PT MISS,25 - 16
3,5:51,R.Aiken,3PT MISS,25 - 16
3,6:03,K.Stanton,3PT GOAL,28 - 16
4,1:06,K.Austin,1PT GOAL,29 - 16
4,1:22,K.Stanton,1PT GOAL,30 - 16
4,1:55,S.Beckford,3PT GOAL,30 - 19
4,2:21,K.Austin,2PT GOAL,32 - 19
4,2:33,S.Beckford,3PT MISS,32 - 19
4,2:37,S.Nelson,2PT MISS,32 - 19
4,2:58,K.Austin,2PT GOAL,34 - 19
4,3:36,K.Austin,2PT MISS,34 - 19
4,4:17,S.Beckford,3PT GOAL,34 - 22
4,4:58,S.Garbin,1PT GOAL,35 - 22
4,5:43,S.Garbin,2PT MISS,35 - 22
4,5:57,K.Austin,2PT GOAL,37 - 22
1,0:23,K.Corbin,1PT GOAL,1 - 0
1,0:44,J.Mvula,1PT GOAL,1 - 1
1,1:03,G.Fisher,2PT GOAL,3 - 1
1,1:38,J.Mvula,1PT GOAL,3 - 2
1,1:52,G.Fisher,2PT MISS,3 - 2
1,2:45,J.Chimaliro,2PT MISS,3 - 2
1,3:09,K.Corbin,2PT MISS,3 - 2
1,3:20,G.Fisher,3PT MISS,3 - 2
1,3:46,J.Chimaliro,1PT GOAL,3 - 3
1,4:14,J.Mvula,2PT GOAL,3 - 5
1,4:31,G.Fisher,2PT MISS,3 - 5
1,4:35,E.Clark,1PT GOAL,4 - 5
1,5:54,J.Mvula,2PT MISS,4 - 5
2,0:45,J.Mvula,1PT GOAL,4 - 6
2,1:34,E.Cardwell,2PT GOAL,6 - 6
2,2:23,E.Cardwell,3PT MISS,6 - 6
2,3:11,E.Cardwell,1PT GOAL,7 - 6
2,3:25,J.Chimaliro,1PT MISS,7 - 6
2,3:40,E.Cardwell,2PT MISS,7 - 6
2,4:10,E.Clark,3PT MISS,7 - 6
2,4:40,J.Mvula,1PT GOAL,7 - 7
2,4:54,E.Cardwell,1PT GOAL,8 - 7
2,5:16,J.Mvula,1PT GOAL,8 - 8
2,5:29,E.Cardwell,2PT MISS,8 - 8
2,5:56,J.Mvula,1PT GOAL,8 - 9
2,6:08,E.Cardwell,2PT MISS,8 - 9
3,0:28,G.Fisher,1PT GOAL (PP),10 - 9
3,0:54,J.Chimaliro,2PT MISS,10 - 9
3,1:05,G.Fisher,1PT GOAL (PP),12 - 9
3,1:25,J.Mvula,1PT GOAL,12 - 10
3,1:43,G.Fisher,2PT GOAL (PP),16 - 10
3,2:24,J.Mvula,2PT MISS,16 - 10
3,3:07,J.Mvula,1PT GOAL,16 - 11
3,3:26,G.Fisher,2PT MISS,16 - 11
3,3:31,E.Clark,1PT GOAL (PP),18 - 11
3,3:52,J.Chimaliro,2PT MISS,18 - 11
3,3:59,J.Mvula,1PT MISS,18 - 11
3,4:14,E.Clark,1PT GOAL (PP),20 - 11
3,4:42,J.Chimaliro,1PT GOAL,20 - 12
3,4:54,G.Fisher,2PT MISS,20 - 12
3,5:00,G.Fisher,2PT MISS,20 - 12
3,5:10,E.Clark,1PT GOAL (PP),22 - 12
3,5:42,J.Chimaliro,3PT GOAL,22 - 15
4,0:11,J.Mvula,1PT GOAL (PP),22 - 17
4,1:33,J.Mvula,1PT GOAL (PP),22 - 19
4,1:55,G.Fisher,1PT GOAL,23 - 19
4,2:25,J.Chimaliro,2PT GOAL (PP),23 - 23
4,3:02,G.Fisher,1PT MISS,23 - 23
4,3:27,J.Mvula,1PT GOAL (PP),23 - 25
4,3:58,K.Corbin,1PT GOAL,24 - 25
4,4:41,E.Clark,2PT MISS,24 - 25
4,4:48,G.Fisher,1PT GOAL,25 - 25
4,5:42,G.Fisher,1PT GOAL,26 - 25
4,6:03,J.Mvula,1PT GOAL (PP),26 - 27
1,0:31,S.Burger,1PT GOAL,0 - 1
1,0:45,B.Mes,1PT GOAL,1 - 1
1,1:17,M.Falkner,1PT GOAL,2 - 1
1,1:39,R.Stoltz,2PT MISS,2 - 1
1,2:12,B.Mes,2PT GOAL,4 - 1
1,2:35,R.Stoltz,2PT GOAL,4 - 3
1,3:00,B.Mes,1PT GOAL,5 - 3
1,3:23,S.Burger,2PT MISS,5 - 3
1,3:32,A.Ekenasio,2PT MISS,5 - 3
1,4:06,B.Mes,2PT MISS,5 - 3
1,4:11,A.Ekenasio,1PT GOAL,6 - 3
1,4:36,R.Stoltz,2PT GOAL,6 - 5
1,4:48,A.Ekenasio,2PT MISS,6 - 5
1,5:05,R.Stoltz,2PT MISS,6 - 5
1,5:33,A.Dunn,2PT MISS,6 - 5
1,5:49,A.Ekenasio,2PT GOAL,8 - 5
2,0:20,A.Ekenasio,3PT MISS,8 - 5
2,1:01,M.Falkner,1PT GOAL (PP),10 - 5
2,1:30,A.Dunn,3PT MISS,10 - 5
2,1:34,M.Falkner,1PT GOAL (PP),12 - 5
2,2:13,M.Falkner,1PT MISS,12 - 5
2,3:01,S.Burger,2PT GOAL,12 - 7
2,3:23,B.Mes,2PT MISS,12 - 7
2,3:30,A.Ekenasio,2PT MISS,12 - 7
2,3:48,A.Ekenasio,1PT GOAL (PP),14 - 7
2,4:16,D.Lochner,2PT MISS,14 - 7
2,4:26,D.Lochner,2PT MISS,14 - 7
2,4:41,B.Mes,2PT GOAL (PP),18 - 7
2,5:05,D.Lochner,1PT GOAL,18 - 8
2,5:23,B.Mes,2PT GOAL (PP),22 - 8
2,5:49,B.Mes,2PT GOAL (PP),26 - 8
3,0:16,S.Burger,1PT GOAL (PP),26 - 10
3,1:11,M.Falkner,1PT GOAL,27 - 10
3,1:29,R.Stoltz,2PT GOAL (PP),27 - 14
3,2:04,R.Stoltz,2PT GOAL (PP),27 - 18
3,2:19,A.Dunn,1PT GOAL,28 - 18
3,2:34,S.Burger,2PT MISS,28 - 18
3,2:43,S.Burger,2PT GOAL (PP),28 - 22
3,2:59,M.Falkner,1PT MISS,28 - 22
3,3:22,S.Burger,2PT GOAL (PP),28 - 26
3,4:24,B.Mes,2PT GOAL,30 - 26
3,4:47,R.Stoltz,3PT MISS,30 - 26
3,5:08,R.Stoltz,2PT GOAL (PP),30 - 30
3,5:27,A.Dunn,2PT GOAL,32 - 30
3,5:50,R.Stoltz,2PT MISS,32 - 30
3,6:01,A.Dunn,2PT MISS,32 - 30
3,6:08,B.Mes,1PT GOAL,33 - 30
4,0:10,A.Ekenasio,2PT MISS,33 - 30
4,0:26,S.Burger,2PT MISS,33 - 30
4,0:59,R.Stoltz,2PT GOAL,33 - 32
4,1:20,A.Ekenasio,1PT GOAL,34 - 32
4,2:06,A.Ekenasio,2PT MISS,34 - 32
4,3:01,R.Stoltz,2PT MISS,34 - 32
4,3:21,A.Ekenasio,1PT GOAL,35 - 32
4,3:38,S.Burger,2PT GOAL,35 - 34
4,4:00,B.Mes,2PT GOAL,37 - 34
4,4:19,R.Stoltz,2PT MISS,37 - 34
4,4:29,S.Burger,2PT GOAL,37 - 36
4,4:51,A.Ekenasio,1PT GOAL,38 - 36
4,5:17,S.Burger,2PT MISS,38 - 36
4,5:52,A.Ekenasio,1PT GOAL,39 - 36
1,0:24,S.Beckford,3PT GOAL,3 - 0
1,0:38,J.Chimaliro,1PT GOAL,3 - 1
